Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Length,Width,Depth,Price,Data Url
1799924,EMERALD,0.3,5,11,4,5,3,1,4.32,3.27,2.25,588.97,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-351/
1800669,EMERALD,0.3,7,9,5,5,4,0,4.4,3.33,2.25,616.85,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-357/
1799925,EMERALD,0.35,5,8,5,3,3,0,4.71,3.56,2.37,622.53,https://capitalwholesalediamonds.com/product/0-35-ct-emerald-28/
1800690,EMERALD,0.3,5,10,5,5,4,1,4.75,3.28,2.01,628.53,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-356/
1800668,EMERALD,0.3,7,10,4,4,3,0,4.6,3.25,2.13,642.22,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-352/
1787850,EMERALD,0.3,6,10,4,5,4,0,4.46,3.35,2.24,645.28,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-354/
1791763,EMERALD,0.3,6,10,5,4,3,1,4.49,3.34,2.12,649.84,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-355/
1800689,EMERALD,0.33,5,10,5,3,2,0,4.59,3.43,2.37,653.12,https://capitalwholesalediamonds.com/product/0-33-ct-emerald-69/
1799909,EMERALD,0.32,6,11,5,3,3,2,4.52,3.23,2.3,656.53,https://capitalwholesalediamonds.com/product/0-32-ct-emerald-99/
1799872,EMERALD,0.3,7,10,4,4,4,1,4.44,3.12,2.16,660.47,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-353/
1794396,EMERALD,0.32,8,8,5,4,3,0,4.5,3.27,2.21,662.5,https://capitalwholesalediamonds.com/product/0-32-ct-emerald-100/
1787851,EMERALD,0.33,6,9,5,5,4,0,4.95,3.31,2.17,672.62,https://capitalwholesalediamonds.com/product/0-33-ct-emerald-70/
1798600,EMERALD,0.31,8,10,5,5,3,0,4.52,3.33,2.23,677.49,https://capitalwholesalediamonds.com/product/0-31-ct-emerald-159/
1799910,EMERALD,0.31,6,10,5,4,3,0,5.04,3.37,1.92,684.84,https://capitalwholesalediamonds.com/product/0-31-ct-emerald-160/
1791762,EMERALD,0.33,6,10,5,5,4,0,4.66,3.39,2.27,700,https://capitalwholesalediamonds.com/product/0-33-ct-emerald-68/
1789865,EMERALD,0.3,8,11,4,4,4,1,4.47,3.24,2.2,723.84,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-350/
1791050,EMERALD,0.35,7,10,5,4,4,0,4.72,3.34,2.26,727.26,https://capitalwholesalediamonds.com/product/0-35-ct-emerald-27/
1789881,EMERALD,0.3,6,12,4,5,3,0,4.4,3.09,2.27,736.01,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-345/
1789882,EMERALD,0.3,6,12,4,5,3,0,4.41,3.36,2.27,736.01,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-346/
