Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Length,Width,Depth,Price,Data Url
1793297,OVAL,0.3,6,7,5,5,4,1,5.51,3.9,2.3,572.23,https://capitalwholesalediamonds.com/product/0-3-ct-oval-142/
1783963,OVAL,0.3,7,9,3,4,3,0,5,3.71,2.36,583.39,https://capitalwholesalediamonds.com/product/0-3-ct-oval-94/
1793299,OVAL,0.3,5,8,5,5,3,1,5.69,3.59,2.25,583.91,https://capitalwholesalediamonds.com/product/0-3-ct-oval-96/
1721286,OVAL,0.31,6,10,5,5,4,1,5.82,3.66,2.24,594.22,https://capitalwholesalediamonds.com/product/0-31-ct-oval-36/
1789990,OVAL,0.3,6,8,5,5,4,1,5.89,3.7,2.19,606.71,https://capitalwholesalediamonds.com/product/0-3-ct-oval-95/
1772657,OVAL,0.3,4,11,5,4,3,0,5.29,3.48,2.33,617.86,https://capitalwholesalediamonds.com/product/0-3-ct-oval-93/
1788113,OVAL,0.31,5,10,4,5,4,0,5.75,3.93,2.27,628.24,https://capitalwholesalediamonds.com/product/0-31-ct-oval-37/
1775486,OVAL,0.31,7,9,5,5,4,0,5.96,3.73,2.18,629.83,https://capitalwholesalediamonds.com/product/0-31-ct-oval-38/
1786657,OVAL,0.36,5,10,5,4,4,0,5.99,3.94,2.32,637.33,https://capitalwholesalediamonds.com/product/0-36-ct-oval-8/
1785470,OVAL,0.31,5,11,4,4,3,0,5.88,3.65,2.26,641.9,https://capitalwholesalediamonds.com/product/0-31-ct-oval-35/
1785467,OVAL,0.36,6,8,5,5,4,2,6.07,3.9,2.4,647.07,https://capitalwholesalediamonds.com/product/0-36-ct-oval-10/
1791222,OVAL,0.36,5,10,5,3,3,0,5.74,4.08,2.29,651.93,https://capitalwholesalediamonds.com/product/0-36-ct-oval-9/
1791841,OVAL,0.4,5,8,4,4,3,1,5.78,4.13,2.52,676,https://capitalwholesalediamonds.com/product/0-4-ct-oval-101/
1755008,OVAL,0.3,5,18,5,4,3,2,5.35,3.52,2.23,701.52,https://capitalwholesalediamonds.com/product/0-3-ct-oval-3/
1785453,OVAL,0.32,10,9,5,5,4,0,5.66,3.78,2.37,701.96,https://capitalwholesalediamonds.com/product/0-32-ct-oval-26/
1660477,OVAL,0.5,4,8,5,5,3,3,6.33,4.59,2.73,714.13,https://capitalwholesalediamonds.com/product/0-5-ct-oval-440/
1743156,OVAL,0.31,4,15,5,3,3,0,5.92,3.76,2.22,725.74,https://capitalwholesalediamonds.com/product/0-31-ct-oval-22/
1574449,OVAL,0.18,9,17,5,5,3,0,4.8,3.08,1.92,727.05,https://capitalwholesalediamonds.com/product/0-18-ct-oval/
1778721,OVAL,0.31,4,14,5,5,3,0,5.71,3.76,2.29,735.64,https://capitalwholesalediamonds.com/product/0-31-ct-oval-29/
1783952,OVAL,0.4,5,9,5,4,4,2,6.23,4.03,2.48,736.2,https://capitalwholesalediamonds.com/product/0-4-ct-oval-100/
1738269,OVAL,0.35,7,12,5,4,4,0,6.04,3.78,2.36,737.85,https://capitalwholesalediamonds.com/product/0-35-ct-oval-20/
1733139,OVAL,0.51,3,11,5,4,3,1,6.88,4.37,2.56,740.56,https://capitalwholesalediamonds.com/product/0-51-ct-oval-158/
1789984,OVAL,0.4,6,9,5,5,3,1,6.21,4.09,2.53,740.9,https://capitalwholesalediamonds.com/product/0-4-ct-oval-99/
1800878,OVAL,0.3,4,16,5,4,3,1,5,3.74,2.4,742.1,https://capitalwholesalediamonds.com/product/0-3-ct-oval-46/
1779957,OVAL,0.3,5,13,4,3,2,0,5.27,3.79,2.27,745.66,https://capitalwholesalediamonds.com/product/0-3-ct-oval-87/
